Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,1,0,45,3,819,-999.0,1.9904,1.4031,-0.58734,0.58734,0.64032,139
100,1,0,30,2,819,-999.0,0.97783,0.9185,-0.05933,0.05933,0.63499,181
100,1,0,45,3,819,-999.0,2.284,2.3979,0.11394,0.11394,0.65986,173
100,1,0,15,1,819,-999.0,3.0726,3.1116,0.039019,0.039019,0.67591,184
100,1,0,45,3,819,-999.0,0.13428,1.9472,-1.3287,1.3287,1.2736,8
100,1,0,30,2,819,-999.0,1.3514,1.4983,0.1469,0.1469,0.99555,169
100,1,0,15,1,819,-999.0,1.7841,1.9186,0.13449,0.13449,0.65155,171
100,1,0,15,1,819,-999.0,2.2207,2.2257,0.0050323,0.0050323,0.70899,194
100,1,0,45,3,819,-999.0,0.36646,2.8277,-0.68039,0.68039,1.2013,34
100,1,0,30,2,819,-999.0,2.2898,1.9954,-0.29438,0.29438,0.91109,157
100,1,0,30,2,819,-999.0,0.45002,1.958,1.5079,1.5079,1.1184,2
100,1,0,15,1,819,-999.0,0.18555,0.27417,0.088618,0.088618,0.56409,176
100,1,0,15,1,819,-999.0,2.4113,2.2791,-0.13223,0.13223,0.61279,171
100,1,0,45,3,819,-999.0,0.69996,1.2461,0.54612,0.54612,0.7508,141
100,1,0,30,2,819,-999.0,0.24159,0.057687,-0.18391,0.18391,0.55798,166
100,1,0,45,3,819,-999.0,1.3766,1.4289,0.052345,0.052345,0.67061,182
100,1,0,15,1,819,-999.0,0.099252,2.9514,-0.28949,0.28949,0.63766,157
100,1,0,45,3,819,-999.0,2.2711,2.1151,-0.15601,0.15601,0.79595,168
100,1,0,30,2,819,-999.0,1.4679,1.5319,0.064008,0.064008,1.1781,80
100,1,0,30,2,819,-999.0,2.0452,2.1978,0.15257,0.15257,0.67118,169
100,1,0,30,2,819,-999.0,2.6398,2.7997,0.15986,0.15986,0.6309,168
100,1,0,45,3,819,-999.0,0.67547,1.5642,0.88872,0.88872,1.1603,25
100,1,0,45,3,819,-999.0,2.9568,2.2012,-0.75561,0.75561,0.58583,131
100,1,0,30,2,819,-999.0,3.0628,2.3796,-0.68324,0.68324,0.59355,134
100,1,0,45,3,819,-999.0,1.6564,2.0461,0.38969,0.38969,0.60996,150
100,1,0,30,2,819,-999.0,2.9672,3.0464,0.079166,0.079166,0.64063,178
100,1,0,30,2,819,-999.0,0.42035,2.8304,-0.73157,0.73157,0.6362,132
100,1,0,45,3,819,-999.0,0.7774,0.09936,-0.67804,0.67804,0.67478,134
100,1,0,30,2,819,-999.0,1.1721,1.3912,0.21913,0.21913,0.60813,163
100,1,0,45,3,819,-999.0,2.9895,2.7544,-0.23512,0.23512,0.5997,161
100,1,0,15,1,819,-999.0,2.2142,2.1821,-0.032187,0.032187,0.66298,186
100,1,0,15,1,819,-999.0,0.83461,0.8221,-0.012514,0.012514,0.67989,191
100,1,0,45,3,819,-999.0,0.54501,0.67149,0.12648,0.12648,0.70166,172
100,1,0,15,1,819,-999.0,1.269,1.4769,0.20789,0.20789,0.61988,164
100,1,0,15,1,819,-999.0,1.6387,2.1537,0.51505,0.51505,0.61604,143
100,1,0,15,1,819,-999.0,0.17153,0.2753,0.10376,0.10376,0.74884,174
100,1,0,30,2,819,-999.0,2.3401,2.3842,0.044148,0.044148,0.61785,183
100,1,0,15,1,819,-999.0,3.1153,0.35087,0.37715,0.37715,0.58062,6
